,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
2431,Comédie,88,France,921751,2.0,2.7,1420624.0,8358460.0,10.77,9.91,11.92,11.28,9.72,Spring,True,0.67,0.0,0,142.0
2432,Drame,95,U.S.A.,282054,3.3,3.5,1663506.0,12500000.0,18.38,12.3,12.69,13.35,10.54,Autumn,True,0.67,0.5,1,258.0
2433,"Drame, Science fiction",119,Grande-Bretagne,15347,2.6,2.2,129205.0,0.0,11.33,10.83,10.67,12.71,8.42,Spring,True,0.33,0.0,0,124.5
2434,Drame,91,France,140094,3.1,3.3,1111703.0,0.0,14.42,4.47,8.29,4.36,4.97,Winter,False,0.33,0.0,0,243.0
2435,"Comédie, Action",105,U.S.A.,97963,2.8,2.7,550552.0,75000000.0,14.85,7.51,8.86,3.41,7.49,Autumn,False,0.0,0.0,0,243.0
2436,"Animation, Aventure, Comédie",93,U.S.A.,48389,3.0,3.6,2572422.0,145000000.0,17.43,14.91,17.93,16.67,14.64,Summer,False,0.33,0.0,0,107.0
2437,"Thriller, Policier",101,Grande-Bretagne,124297,2.9,3.7,951439.0,20000000.0,14.56,11.44,14.29,14.33,13.75,Spring,True,0.67,0.0,0,156.0
2438,Drame,88,Bolivie,8948,3.6,3.9,107955.0,0.0,19.76,18.41,21.05,21.76,18.59,Spring,False,0.0,0.0,0,55.0
2439,"Action, Comédie, Policier",117,U.S.A.,151684,2.3,2.9,241901.0,43000000.0,22.65,19.05,21.24,19.31,19.64,Summer,True,0.33,0.0,0,165.0
2440,"Action, Policier, Thriller",99,U.S.A.,41223,2.8,2.6,661802.0,40000000.0,0.07,-1.72,0.29,-2.79,-1.45,Winter,True,0.0,0.0,0,161.0
2441,Comédie dramatique,94,France,125081,3.3,3.8,258938.0,0.0,22.97,18.36,23.55,22.26,22.68,Summer,True,0.33,1.0,1,156.0
2442,Thriller,94,Belgique,12048,3.2,2.9,129544.0,0.0,16.92,14.19,15.82,17.22,16.37,Spring,False,0.0,0.0,0,22.0
2443,Comédie dramatique,82,Espagne,9914,3.2,3.4,117561.0,0.0,24.11,21.36,21.35,22.83,23.0,Summer,True,0.0,0.0,0,134.0
2444,Comédie,110,France,127768,2.4,1.9,641012.0,0.0,19.06,12.32,13.02,15.39,12.59,Autumn,False,0.0,0.0,0,139.0
