title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,season
pop redemption,2013-06-05,Comédie,95,Martin Le Gall,"Mark Eacersall, Martin Le Gall","Julien Doré, Grégory Gadebois, Jonathan Cohen",France,Gaumont Distribution,56 964,"2,6","2,9",824206,0.0,Summer
sisu,2023-06-21,"Action, Guerre",91,Jalmari Helander,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan",Finlande,SND,44 625,"2,7","3,3",186820,6200000.0,Summer
elemental,2023-06-21,"Animation, Comédie, Famille",102,Peter Sohn,"John Hoberg, Kat Likkel","Adèle Exarchopoulos, Leah Lewis, Vincent Lacoste",U.S.A.,The Walt Disney Company France,426 818,"3,5","3,9",105997,200000000.0,Summer
no hard feelings,2023-06-21,Comédie,103,Gene Stupnitsky,"Gene Stupnitsky, John M. Phillips","Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti",U.S.A.,Sony Pictures Releasing France,54 361,"3,0","3,1",77174,45000000.0,Summer
la vie d'adèle - chapitres 1 et 2,2013-10-09,"Drame, Romance",177,Abdellatif Kechiche,"Abdellatif Kechiche, Ghalya Lacroix","Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche",France,Wild Bunch Distribution,323 457,"4,6","3,6",1118139,4300000.0,Autumn
un homme idéal,2015-03-18,Thriller,97,Yann Gozlan,"Yann Gozlan, Guillaume Lemans","Pierre Niney, Ana Girardot, André Marcon",France,Mars Films,337 525,"3,2","3,8",872602,0.0,Spring
chien de la casse,2023-04-19,Comédie dramatique,93,Jean-Baptiste Durand,Jean-Baptiste Durand,"Anthony Bajon, Raphaël Quenard, Galatea Bellugi",France,Bac Films,20 877,"3,7","4,1",40290,0.0,Spring
"cléo, melvil et moi",2023-07-05,Comédie dramatique,73,Arnaud Viard,Arnaud Viard,"Arnaud Viard, Marianne Denicourt, Romane Bohringer",France,Moonlight Films Distribution,1 849,"3,3","3,2",55913,0.0,Summer
dune,2021-09-15,"Science fiction, Drame",156,Denis Villeneuve,"Jon Spaihts, Denis Villeneuve","Timothée Chalamet, Rebecca Ferguson, Oscar Isaac",U.S.A.,Warner Bros. France,1 030 687,"4,0","4,3",590379,165000000.0,Autumn
nos jours heureux,2006-06-28,Comédie,103,Eric Toledano,"Olivier Nakache, Olivier Nakache, Eric Toledano","Jean-Paul Rouve, Marilou Berry, Omar Sy",France,SND,252 982,"3,4","3,9",696218,7508646.0,Summer
à l’abordage,2021-07-21,Comédie,95,Guillaume Brac,"Guillaume Brac, Catherine Paillé","Éric Nantchouang, Salif Cissé, Édouard Sulpice",France,Arte,5 612,"3,9","3,8",58144,0.0,Summer
mission: impossible – dead reckoning part one,2023-07-12,"Action, Espionnage, Aventure",163,Christopher McQuarrie,"Christopher McQuarrie, Erik Jendresen","Tom Cruise, Hayley Atwell, Ving Rhames",U.S.A.,Paramount Pictures France,930 141,"4,0","4,2",159986,291000000.0,Summer
la cage dorée,2013-04-24,Comédie,91,Ruben Alves,"Ruben Alves, Jean-André Yerles","Rita Blanco, Joaquim de Almeida, Roland Giraud",Portugal,Pathé,288 750,"3,5","3,9",934514,7000000.0,Spring
scream vi,2023-03-08,Epouvante-horreur,122,Matt Bettinelli-Olpin,"Tyler Gillett, James Vanderbilt, Guy Busick","Melissa Barrera, Jenna Ortega, Courteney Cox",U.S.A.,Paramount Pictures France,464 821,"2,4","3,1",307904,35000000.0,Spring
joker,2019-10-09,Drame,122,Todd Phillips,"Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz",U.S.A.,Warner Bros. France,1 576 425,"4,1","4,4",1095536,55000000.0,Autumn
la syndicaliste,2023-03-01,"Thriller, Drame",121,Jean-Paul Salomé,"Fadette Drouard, Jean-Paul Salomé","Isabelle Huppert, Grégory Gadebois, Yvan Attal",France,Le Pacte,192 422,"3,3","3,9",182609,0.0,Spring
mademoiselle chambon,2009-10-14,"Drame, Romance",101,Stéphane Brizé,"Stéphane Brizé, Florence Vignon","Vincent Lindon, Sandrine Kiberlain, Aure Atika",France,Rezo Films,165 891,"3,7","3,2",290680,0.0,Autumn
the son,2023-03-01,Drame,123,Florian Zeller,"Florian Zeller, Christopher Hampton","Hugh Jackman, Laura Dern, Vanessa Kirby",France,"Orange Studio Distribution , UGC Distribution",102 272,"3,2","3,9",116466,5000000.0,Spring
no time to die,2021-10-06,"Action, Thriller, Espionnage",163,Cary Joji Fukunaga,"Neal Purvis, Robert Wade","Daniel Craig, Léa Seydoux, Rami Malek",U.S.A.,Universal Pictures International France,1 384 858,"3,1","3,7",525017,250000000.0,Autumn
babylon,2023-01-18,"Historique, Drame",189,Damien Chazelle,Damien Chazelle,"Brad Pitt, Margot Robbie, Diego Calva",U.S.A.,Paramount Pictures France,508 796,"4,0","4,2",216480,78000000.0,Winter
des mains en or,2023-06-07,Comédie,90,Isabelle Mergault,"Isabelle Mergault, Jean-Pierre Hasson","Lambert Wilson, Josiane Balasko, Sylvie Testud",France,Zinc Film,109 081,"2,2","3,4",47253,0.0,Summer
master gardener,2023-07-05,"Drame, Thriller",110,Paul Schrader,Paul Schrader,"Joel Edgerton, Sigourney Weaver, Quintessa Swindell",U.S.A.,"The Jokers , Les Bookmakers",20 443,"3,5","3,1",9899,0.0,Summer
knights of the zodiac,2023-05-24,"Aventure, Action, Fantastique",112,Tomasz Baginski,"Kiel Murray, Josh Campbell"," Mackenyu, Famke Janssen, Sean Bean",Japon,Sony Pictures Releasing France,41 841,"1,5","1,6",69714,60000000.0,Spring
petit pays,2020-08-28,Drame,113,Eric Barbier,"Jean-Paul Rouve, Eric Barbier","Jean-Paul Rouve, Djibril Vancoppenolle, Dayla De Medina",France,Pathé,71 131,"3,7","3,8",328193,0.0,Summer
spy,2015-06-17,"Comédie, Action",120,Paul Feig,Paul Feig,"Melissa McCarthy, Jason Statham, Jude Law",U.S.A.,Twentieth Century Fox France,249 389,"3,0","3,5",502505,65000000.0,Summer
john wick: chapter 4,2023-03-22,Action,170,Chad Stahelski,"Michael Finch, Shay Hatten","Keanu Reeves, Donnie Yen, Bill Skarsgård",U.S.A.,Metropolitan FilmExport,411 048,"3,6","3,9",190948,90000000.0,Spring
the little mermaid,2023-05-24,"Aventure, Famille, Fantastique",136,Rob Marshall,David Magee,"Halle Bailey, Jonah Hauer-King, Melissa McCarthy",U.S.A.,The Walt Disney Company France,582 814,"2,5","2,3",178156,250000000.0,Spring
erreur de la banque en votre faveur,2009-04-08,Comédie,98,Michel Munz,"Gérard Bitton, Michel Munz, Gérard Bitton","Gérard Lanvin, Jean-Pierre Darroussin, Barbara Schulz",France,Wild Bunch Distribution,304 692,"3,1","2,9",382826,0.0,Spring
ambulance,2022-03-23,"Thriller, Action",136,Michael Bay,Chris Fedak,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza Gonzalez",U.S.A.,Universal Pictures International France,142 412,"3,1","2,7",189407,40000000.0,Spring
il boemo,2023-06-21,"Biopic, Historique",140,Petr Vaclav,Petr Vaclav,"Vojtěch Dyk, Barbara Ronchi, Elena Radonicich",République tchèque,Nour Films,34 803,"4,0","4,0",77043,0.0,Summer
love life,2023-06-14,Drame,124,Kôji Fukada,Kôji Fukada,"Fumino Kimura, Tomorowo Taguchi, Tetta Shimada",Japon,Art House,34 071,"3,7","3,8",200777,0.0,Summer
emily,2023-03-15,"Biopic, Drame",130,Frances O'Connor,Frances O'Connor,"Emma Mackey, Fionn Whitehead, Oliver Jackson-Cohen",Grande-Bretagne,Wild Bunch Distribution,47 695,"3,1","3,7",27079,0.0,Spring
la nuit du 12,2022-07-13,"Thriller, Policier",114,Dominik Moll,"Dominik Moll, Gilles Marchand","Bastien Bouillon, Bouli Lanners, Théo Cholbi",France,Haut et Court,96 667,"4,4","4,1",283596,0.0,Summer
le parfum vert,2022-12-21,"Comédie, Policier",101,Nicolas Pariser,Nicolas Pariser,"Sandrine Kiberlain, Vincent Lacoste, Rüdiger Vogler",France,Diaphana Distribution,80 190,"3,5","2,3",129926,7800000.0,Winter
un tour chez ma fille,2021-06-16,Comédie,89,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Josiane Balasko, Mathilde Seigner, Jérôme Commandeur",France,Pathé,146 389,"2,0","2,4",95957,0.0,Summer
petites,2023-02-22,Drame,90,Julie Lerat-Gersant,"François Roy (III), Julie Lerat-Gersant, François Roy (III)","Pili Groyne, Romane Bohringer, Victoire Du Bois",France,Haut et Court,12 466,"3,5","3,8",99147,1200000.0,Winter
lol (laughing out loud) ®,2009-02-04,Comédie,107,Lisa Azuelos,"Lisa Azuelos, Nans Delgado","Sophie Marceau, Christa Théret, Alexandre Astier",France,Pathé,738 734,"3,2","2,8",2271046,10900000.0,Winter
the whale,2023-03-08,Drame,117,Darren Aronofsky,Samuel D. Hunter,"Brendan Fraser, Sadie Sink, Ty Simpkins",U.S.A.,ARP Sélection,65 064,"3,2","4,1",249855,3000000.0,Spring
l'île rouge,2023-05-31,Drame,117,Robin Campillo,Robin Campillo,"Nadia Tereszkiewicz, Quim Gutiérrez, Charlie Vauselle",France,Memento Distribution,55 090,"3,5","2,7",175684,6570000.0,Spring
death on the nile,2022-02-09,"Policier, Thriller",127,Kenneth Branagh,Michael Green,"Kenneth Branagh, Gal Gadot, Emma Mackey",U.S.A.,The Walt Disney Company France,336 133,"3,0","3,1",175256,90000000.0,Winter
indiana jones and the dial of destiny,2023-06-28,"Action, Aventure",154,James Mangold,"James Mangold, John-Henry Butterworth","Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen",U.S.A.,The Walt Disney Company France,1 089 875,"3,5","3,6",291166,294700000.0,Summer
la guerre des boutons,2011-09-14,"Famille, Aventure",109,Yann Samuell,Yann Samuell,"Eric Elmosnino, Mathilde Seigner, Fred Testot",France,UGC Distribution,635 321,"2,6","3,1",2371273,0.0,Autumn
top gun: maverick,2022-05-25,Action,131,Joseph Kosinski,"Christopher McQuarrie, Ehren Kruger","Tom Cruise, Miles Teller, Jennifer Connelly",U.S.A.,Paramount Pictures France,1 529 608,"3,7","4,3",2331027,170000000.0,Spring
joyland,2022-12-28,"Drame, Romance",126,Saim Sadiq,Saim Sadiq,"Ali Junejo, Alina Khan, Sania Saeed",Autres,Condor Distribution,32 996,"3,9","4,1",97308,0.0,Winter
beau is afraid,2023-04-26,"Comédie, Aventure, Drame",179,Ari Aster,Ari Aster,"Joaquin Phoenix, Nathan Lane, Amy Ryan",U.S.A.,ARP Sélection,35 019,"3,6","3,3",146809,35000000.0,Spring
en corps,2022-03-30,"Comédie dramatique, Drame, Comédie",118,Cédric Klapisch,"Cédric Klapisch, Santiago Amigorena","Marion Barbeau, Hofesh Shechter, Denis Podalydès",France,StudioCanal,332 971,"3,4","4,1",322346,7780000.0,Spring
assault,2023-07-12,"Drame, Thriller",90,Adilkhan Yerzhanov,Adilkhan Yerzhanov,"Nurbek Mukushev, Azamat Nigmanov, Aleksandra Revenko",kazakhstan,Destiny Films,1 204,"3,8","3,5",3169,0.0,Summer
supercondriaque,2014-02-26,Comédie,108,Dany Boon,Dany Boon,"Dany Boon, Alice Pol, Kad Merad",France,Pathé,2 151 921,"2,4","2,4",1343463,0.0,Winter
ich bin dein mensch,2022-06-22,"Romance, Science fiction, Comédie, Drame",105,Maria Schrader,"Maria Schrader, Jan Schomburg","Maren Eggert, Dan Stevens, Sandra Hüller",Allemagne,Haut et Court,16 932,"3,1","3,7",76872,0.0,Summer
limbo,2023-07-12,"Thriller, Policier, Drame",118,Soi Cheang,Kin Yee Au,"Ka Tung Lam, Yase Liu, Mason Lee",Hong-Kong,Kinovista,23 509,"4,0","3,8",52538,0.0,Summer
mauvaises herbes,2018-11-21,Comédie,100,Kheiron, Kheiron," Kheiron, Catherine Deneuve, André Dussollier",France,Mars Films,201 117,"3,4","4,1",481870,0.0,Autumn
sous le sable,2001-02-07,Drame,95,François Ozon,"François Ozon, Emmanuèle Bernheim","Charlotte Rampling, Bruno Cremer, Alexandra Stewart",Japon,Haut et Court,154 347,"4,3","3,2",35834,0.0,Winter
tout le monde m'appelle mike,2023-07-05,Thriller,89,Guillaume Bonnier,Guillaume Bonnier,"Abdirisak Mohamed, Daphne Patakia, Pierre Lottin",France,"À Vif Cinémas , The Dark",397,"3,1","3,3",103802,1100000.0,Summer
nightmare alley,2022-01-19,"Drame, Thriller",151,Guillermo del Toro,"Guillermo del Toro, Kim Morgan","Bradley Cooper, Cate Blanchett, Toni Collette",U.S.A.,The Walt Disney Company France,142 309,"3,8","3,8",347833,60000000.0,Winter
rheingold,2023-06-28,"Biopic, Musical, Drame",138,Fatih Akın,Fatih Akın,"Emilio Sakraya, Mona Pirzad, Hussein Eliraqui",Allemagne,Pathé,11 672,"3,0","3,4",6425,0.0,Summer
the fabelmans,2023-02-22,"Biopic, Drame",151,Steven Spielberg,"Steven Spielberg, Tony Kushner","Gabriel LaBelle, Michelle Williams, Paul Dano",U.S.A.,Universal Pictures International France,367 332,"4,9","4,3",325831,40000000.0,Winter
65 - la terre d'avant,2023-03-15,"Science fiction, Thriller, Action",93,Scott Beck,"Bryan Woods, Scott Beck, Bryan Woods","Adam Driver, Ariana Greenblatt, Chloe Coleman",U.S.A.,Sony Pictures Releasing France,187 043,"2,0","2,0",67006,45000000.0,Spring
les choses simples,2023-02-22,Comédie,95,Eric Besnard,Eric Besnard,"Lambert Wilson, Grégory Gadebois, Marie Gillain",France,SND,222 130,"2,7","3,8",106493,5950000.0,Winter
guardians of the galaxy vol. 3,2023-05-03,"Action, Fantastique, Science fiction",150,James Gunn,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista",U.S.A.,The Walt Disney Company France,1 323 124,"3,7","4,2",252758,250000000.0,Spring
tout simplement noir,2020-07-08,Comédie,90,Jean-Pascal Zadi,"John Wax, Kamel Guemra, Jean-Pascal Zadi","Jean-Pascal Zadi, Caroline Anglade,  Fary",France,Gaumont Distribution,255 537,"3,8","2,8",642603,0.0,Summer
corsage,2022-12-14,"Drame, Historique, Biopic",113,Marie Kreutzer,Marie Kreutzer,"Vicky Krieps, Florian Teichtmeister, Katharina Lorenz",Autriche,Ad Vitam,35 145,"3,7","3,1",116170,7580600.0,Winter
sexygénaires,2023-06-14,Comédie,80,Robin Sykes,"Antoine Raimbault, Robin Sykes","Thierry Lhermitte, Patrick Timsit, Marie Bunel",France,"Apollo Films , Orange Studio",63 084,"2,8","2,6",25798,6000000.0,Summer
normale,2023-04-05,"Comédie dramatique, Drame, Comédie",87,Olivier Babinet,"Olivier Babinet, Juliette Sales","Benoît Poelvoorde, Justine Lacroix, Joseph Rozé",France,Haut et Court,12 196,"3,6","3,2",104569,4000000.0,Spring
c.r.a.z.y.,2006-05-03,Drame,127,Jean-Marc Vallée,"François Boulay, Jean-Marc Vallée","Michel Côté, Marc-André Grondin, Émile Vallée",Canada,L'Atelier Distribution,91 203,"3,8","3,8",310777,0.0,Spring
les petites victoires,2023-03-01,Comédie,90,Mélanie Auffret,"Michaël Souhaité, Mélanie Auffret","Michel Blanc, Julia Piaton, Lionel Abelanski",France,Zinc Film,250 360,"3,6","3,9",131216,5460000.0,Spring
je verrai toujours vos visages,2023-03-29,Drame,118,Jeanne Herry,Jeanne Herry,"Adèle Exarchopoulos, Dali Benssalah, Leïla Bekhti",France,StudioCanal,282 292,"4,1","4,4",412161,0.0,Spring
the flash,2023-06-14,"Action, Science fiction, Fantastique",144,Andy Muschietti,Christina Hodson,"Ezra Miller, Sasha Calle, Michael Shannon",U.S.A.,Warner Bros. France,388 700,"2,5","3,0",212971,190000000.0,Summer
harry potter à l'école des sorciers,2001-12-05,"Fantastique, Aventure, Famille",152,Chris Columbus,Steve Kloves,"Daniel Radcliffe, Rupert Grint, Emma Watson",U.S.A.,Warner Bros. France,2 316 734,"3,7","4,1",2067922,125000000.0,Winter
mon crime,2023-03-08,"Comédie dramatique, Policier, Judiciaire, Drame, Comédie",103,François Ozon,François Ozon,"Nadia Tereszkiewicz, Rebecca Marder, Isabelle Huppert",France,Gaumont Distribution,427 391,"4,0","3,9",162932,13700000.0,Spring
j’irai mourir dans les carpates,2020-09-16,"Comédie, Thriller",96,Antoine de Maximy,Antoine de Maximy,"Antoine de Maximy, Alice Pol, Max Boublil",France,Apollo Films,50 838,"2,5","3,7",153893,300000.0,Autumn
suzume no tojimari,2023-04-12,"Animation, Aventure, Drame",122,Makoto Shinkai,Makoto Shinkai,"Lévanah Solomon, Nanoka Hara, Benjamin Jungers",Japon,Eurozoom,181 032,"3,8","4,2",63566,0.0,Spring
fast x,2023-05-17,Action,141,Louis Leterrier,"Dan Mazeau, Justin Lin","Vin Diesel, Michelle Rodriguez, Jason Momoa",U.S.A.,Universal Pictures International France,1 140 846,"2,9","3,1",215073,340000000.0,Spring
tenet,2020-08-26,"Action, Science fiction",150,Christopher Nolan,Christopher Nolan,"John David Washington, Kenneth Branagh, Robert Pattinson",U.S.A.,Warner Bros. France,948 378,"3,6","3,7",768550,205000000.0,Summer
les trois mousquetaires: d'artagnan,2023-04-05,"Aventure, Historique",121,Martin Bourboulon,"Alexandre De La Patellière, Matthieu Delaporte","François Civil, Vincent Cassel, Romain Duris",France,Pathé,1 007 159,"3,7","4,0",414751,27500000.0,Spring
le retour,2023-07-12,Drame,106,Catherine Corsini,"Catherine Corsini, Naïla Guiguet","Aïssatou Diallo Sagna, Suzy Bemba, Esther Gohourou",France,Le Pacte,22 450,"3,1","3,4",66538,4700000.0,Summer
la la land,2017-01-25,"Comédie musicale, Romance",128,Damien Chazelle,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend",U.S.A.,SND,754 534,"4,4","4,2",1639163,30000000.0,Winter
the aviator,2005-01-26,"Biopic, Drame, Historique",165,Martin Scorsese,John Logan,"Leonardo DiCaprio, Cate Blanchett, John C. Reilly",U.S.A.,TFM Distribution,640 883,"4,0","3,8",292985,110000000.0,Winter
inception,2010-07-21,"Science fiction, Thriller",148,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Marion Cotillard, Elliot Page",U.S.A.,Warner Bros. France,1 305 534,"4,1","4,5",3783089,160000000.0,Summer
à la belle étoile,2023-02-22,"Comédie, Drame",110,Sébastien Tulard,Cédric Ido,"Riadh Belaïche, Loubna Abidar, Christine Citti",France,Bac Films,67 974,"2,9","3,7",177947,0.0,Winter
magnificat,2023-06-21,"Drame, Policier",97,Virginie Sauveur,"Virginie Sauveur, Nicolas Silhol","Karin Viard, François Berléand, Maxime Bergeron",France,"Orange Studio , Alba Films",30 964,"2,5","3,4",93408,0.0,Summer
a noiva,2023-06-28,Drame,81,Sérgio Tréfaut,Sérgio Tréfaut,"Joana Bernardo, Hugo Bentes, Lola Dueñas",Portugal,Alfama Films,298,"2,9","2,0",2764,0.0,Summer
tirailleurs,2023-01-04,"Drame, Historique, Guerre",100,Mathieu Vadepied,"Olivier Demangel, Mathieu Vadepied","Omar Sy, Alassane Diong, Jonas Bloquet",France,Gaumont Distribution,456 751,"3,3","2,5",138521,0.0,Winter
little women,2020-01-01,"Romance, Drame",135,Greta Gerwig,Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh",U.S.A.,Sony Pictures Releasing France,242 663,"3,7","3,8",683880,40000000.0,Winter
kuru otlar üstüne,2023-07-12,Drame,197,Nuri Bilge Ceylan,"Nuri Bilge Ceylan, Ebru Ceylan","Deniz Celiloğlu, Merve Dizdar, Musab Ekici",Turquie,Memento Distribution,32 179,"4,0","4,1",137194,3720000.0,Summer
stars at noon,2023-06-14,"Drame, Romance, Thriller",137,Claire Denis,"Claire Denis, Léa Mysius","Margaret Qualley, Joe Alwyn, Benny Safdie",France,Ad Vitam,13 094,"2,5","2,2",86398,0.0,Summer
titanic,1998-01-07,"Drame, Romance",194,James Cameron,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane",U.S.A.,The Walt Disney Company France,498 212,"4,9","4,3",3346297,200000000.0,Winter
c'est tout pour moi,2017-11-29,Comédie dramatique,103,Nawell Madani,"Ludovic Colbeau-Justin, Nawell Madani, Ali Boughéraba","Nawell Madani, François Berléand, Mimoun Benabderrahmane",France,UGC Distribution,250 306,"3,0","3,6",692985,0.0,Autumn
mon inconnue,2019-04-03,"Comédie, Romance",118,Hugo Gélin,"Hugo Gélin, Igor Gotesman","François Civil, Joséphine Japy, Benjamin Lavernhe",France,Mars Films,209 564,"3,9","4,1",815110,7950000.0,Spring
l’ultima notte di amore,2023-06-07,Thriller,125,Andrea Di Stefano,Andrea Di Stefano,"Pierfrancesco Favino, Linda Caridi, Antonio Gerardi",Italie,Universal Pictures International France,40 869,"3,5","4,0",20809,9500000.0,Summer
les vengeances de maître poutifard,2023-06-28,"Comédie, Famille",90,Pierre-François Martin-Laval,Pierre-François Martin-Laval,"Christian Clavier, Isabelle Nanty, Jennie-Anne Walker",France,UGC Distribution,180 735,"2,0","2,1",52425,0.0,Summer
astérix et obélix : mission cléopâtre,2002-01-30,Comédie,112,Alain Chabat,Alain Chabat,"Gérard Depardieu, Christian Clavier, Jamel Debbouze",France,Pathé,3 685 097,"3,8","4,1",370584,0.0,Winter
the menu,2022-11-23,Thriller,108,Mark Mylod,"Seth Reiss, Will Tracy","Ralph Fiennes, Anya Taylor-Joy, Nicholas Hoult",U.S.A.,The Walt Disney Company France,124 279,"2,8","3,4",204178,35000000.0,Autumn
the french dispatch,2021-10-27,"Comédie, Drame, Romance",108,Wes Anderson,Wes Anderson,"Timothée Chalamet, Léa Seydoux, Bill Murray",U.S.A.,The Walt Disney Company France,197 450,"3,5","3,3",196581,25000000.0,Autumn
dragon ball super: super hero,2022-10-05,"Animation, Arts Martiaux, Action, Fantastique",99,Tetsuro Kodama,Akira Toriyama,"Patrick Borg, Masako Nozawa, Mark Lesser",Japon,Sony Pictures Releasing France,218 070,"3,0","2,7",153848,0.0,Autumn
captain fantastic,2016-10-12,Comédie dramatique,118,Matt Ross,Matt Ross,"Viggo Mortensen, Frank Langella, George MacKay",U.S.A.,Mars Films,111 259,"3,6","4,3",963910,5000000.0,Autumn
les segpa,2022-04-20,Comédie,99,Ali Boughéraba,Hakim Boughéraba,"Ichem Bougheraba, Walid Ben Amar, Arriles Amrani",France,Apollo Films,228 318,"2,0","1,7",120321,0.0,Spring
kompromat,2022-09-07,"Thriller, Drame",127,Jérôme Salle,"Jérôme Salle, Caryl Ferey","Gilles Lellouche, Joanna Kulig, Louis-Do de Lencquesaing",France,SND,205 447,"3,1","3,7",233161,0.0,Autumn
l'origine du mal,2022-10-05,"Drame, Thriller",125,Sébastien Marnier,Sébastien Marnier,"Laure Calamy, Doria Tillier, Dominique Blanc",France,"The Jokers , Les Bookmakers",56 107,"3,5","3,6",170348,0.0,Autumn
