title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Mi iubita mon amour,27 juillet 2022,"Drame, Romance",1h 35min,Noémie Merlant,"Noémie Merlant, Gimi Covaci","Gimi Covaci, Noémie Merlant, Sanda Codreanu",,France,Tandem,Box Office France,7225,"3,4","2,8",18741
Step Up,15 novembre 2006,"Musical, Policier, Romance, Drame",1h 44min,Anne Fletcher,"Duane Adler, Melissa Rosenberg","Channing Tatum, Jenna Dewan, Rachel Griffiths",,U.S.A.,United International Pictures (UIP),Box Office France,104625,"1,6","3,2",571893
Bronson,15 juillet 2009,"Biopic, Thriller, Action, Drame",1h 32min,Nicolas Winding Refn,"Brock Norman Brock, Nicolas Winding Refn","Tom Hardy, Matt King, James Lance",Interdit aux moins de 12 ans,Grande-Bretagne,Le Pacte,Box Office France,54302,"4,1","3,4",419500
The Intern,7 octobre 2015,Comédie,2h 01min,Nancy Meyers,Nancy Meyers,"Robert De Niro, Anne Hathaway, Rene Russo",,U.S.A.,Warner Bros. France,Box Office France,170117,"2,9","3,7",1240167
Dredd,,"Action, Science fiction, Thriller",1h 35min,Pete Travis,"Alex Garland, Carlos Ezquerra","Karl Urban, Olivia Thirlby, Lena Headey",,U.S.A.,2 nominations,Box Office US,6278491,"3,2",--,170566
Brother Bear,28 janvier 2004,"Animation, Aventure, Comédie, Famille",1h 25min,Bob Walker,"Aaron Blaise, Steve Bencich, Ron J. Friedman","Joaquin Phoenix, Jeremy Suarez, Rick Moranis",à partir de 6 ans (children's film),U.S.A.,1 nomination,Box Office France,706876,"3,0","3,7",69387
Dawn of the Planet of the Apes,30 juillet 2014,"Science fiction, Action",2h 11min,Matt Reeves,"Rick Jaffa, Amanda Silver","Andy Serkis, Jason Clarke, Gary Oldman",,U.S.A.,Twentieth Century Fox France,Box Office France,1746921,"3,6","3,9",1185538
La Giovinezza,9 septembre 2015,"Drame, Comédie",2h 04min,Paolo Sorrentino,Paolo Sorrentino,"Michael Caine, Harvey Keitel, Rachel Weisz",,Italie,Pathé,Box Office France,137377,"3,6","3,7",1231213
Red Eye,26 octobre 2005,"Thriller, Action",1h 30min,Wes Craven,Carl Ellsworth,"Rachel McAdams, Cillian Murphy, Brian Cox",Interdit aux moins de 12 ans,U.S.A.,United International Pictures (UIP),Box Office France,144389,"2,8","2,4",120023
El Reino,17 avril 2019,"Policier, Drame",2h 11min,Rodrigo Sorogoyen,"Rodrigo Sorogoyen, Isabel Peña","Antonio de la Torre, Monica Lopez, Josep María Pou",,Espagne,Le Pacte,Box Office France,72084,"4,0","3,9",350512
La Lutte des Classes,3 avril 2019,Comédie,1h 43min,Michel Leclerc,"Michel Leclerc, Baya Kasmi","Leïla Bekhti, Edouard Baer, Ramzy Bedia",,France,UGC Distribution,Box Office France,150948,"3,6","2,9",515240
Safe Haven,,"Romance, Drame",1h 55min,Lasse Hallström,"Leslie Bohem, Dana Stevens","Julianne Hough, Josh Duhamel, Cobie Smulders",,U.S.A.,Metropolitan FilmExport,Box Office US,25170000,"3,8",--,156128
Les Amours Imaginaires,29 septembre 2010,Comédie dramatique,1h 35min,Xavier Dolan,Xavier Dolan,"Monia Chokri, Niels Schneider, Xavier Dolan",,Canada,MK2 Diffusion,Box Office France,60964,"3,5","3,7",468788
Men of Honor,2 mai 2001,"Drame, Biopic",2h 09min,George Tillman Jr.,Scott Marshall Smith,"Robert De Niro, Cuba Gooding Jr., Charlize Theron",,U.S.A.,UFD,Box Office France,101151,"2,4","3,6",33070
Never Let Me Go,2 mars 2011,"Drame, Romance",1h 43min,Mark Romanek,Alex Garland,"Carey Mulligan, Andrew Garfield, Keira Knightley",,U.S.A.,Twentieth Century Fox France,Box Office France,37774,"3,1","3,4",716278
Ray,23 février 2005,"Biopic, Drame, Musical",2h 32min,Taylor Hackford,"Jimmy White, James L. White","Bokeem Woodbine, Harry Lennix, Jamie Foxx",,U.S.A.,United International Pictures (UIP),Box Office France,381813,"4,1","4,1",189415
The rain children,25 juin 2003,Animation,1h 26min,Philippe Leclerc,Philippe Caza,"Frédéric Cerdal, Marjolaine Poulain, Fily Keita",,France,MK2 Diffusion,Box Office France,111967,"3,0","3,5",27057
Agathe Cléry,3 décembre 2008,Comédie,1h 53min,Étienne Chatiliez,"Étienne Chatiliez, Laurent Chouchan","Valérie Lemercier, Anthony Kavanagh, Dominique Lavanant",,France,Pathé,Box Office France,450544,"2,0","1,6",563424
Movie 43,19 juin 2013,Comédie,1h 30min,Steven Brill,"Peter Farrelly, Steve Carr, Will Carlough, Tobias Carlson","Elizabeth Banks, Kristen Bell, Halle Berry",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,39743,"2,0","2,0",708140
